order_id,date_commande,fournisseur,entrepot,client,produit,quantite_commandee,quantite_livree,cout_unitaire_mad,cout_total_mad,distance_km,delai_livraison_jours,retard_jours,stock_actuel,demande_prevue,taux_service_pct,cout_transport_mad,statut,rupture_stock,region,is_retard,is_rupture,taux_livraison_pct,risque_rupture,cout_par_km,cout_par_unite,mois
SC-00001,2026-01-02 09:30:00,Safi Minerals,WH-Tanger,BIM,Produit B,943.0,863.0,75.31,71020.44,620.7,6.96,2.68,1367.0,1788,97.04,5807.87,Livré,True,Souss,True,True,91.51643690349947,True,9.356967939423232,82.29483198146002,2026-01
SC-00002,2026-05-15 22:00:00,Fes Textiles,WH-Marrakech,Grossiste Nord,Produit D,717.0,718.0,226.08,162095.98,752.9,7.75,6.25,1341.0,673,95.35,6098.75,Livré,False,Oriental,True,False,100.139470013947,False,8.100345331385311,225.76041782729806,2026-05
SC-00003,2026-01-27 13:45:00,Marrakech Food,WH-Agadir,Pharmacie Centrale,Produit E,248.0,241.0,184.66,45796.9,247.3,3.4,0.0,2367.0,189,94.78,1775.56,Livré,False,Sud,False,False,97.17741935483872,False,7.179781641730691,190.0286307053942,2026-01
SC-00004,2026-03-19 21:45:00,Rabat Pharma,WH-Agadir,Retail Pro,Produit A,213.0,207.0,114.74,24438.94,206.9,6.71,1.79,675.0,915,85.92,1440.56,En retard,True,Souss,False,True,97.1830985915493,True,6.962590623489608,118.06251207729468,2026-03
SC-00005,2026-03-19 13:00:00,Fes Textiles,WH-Fes,Marjane,Produit B,994.0,916.0,167.78,166768.84,290.8,7.38,3.33,711.0,426,99.5,2956.1,En retard,False,Sud,True,False,92.15291750503019,False,10.165405777166436,182.0620524017467,2026-03
SC-00006,2026-01-30 08:00:00,Fes Textiles,WH-Marrakech,Pharmacie Centrale,Produit B,891.0,766.0,181.54,161752.94,380.1,6.34,0.0,4037.0,212,98.79,3705.8,Livré,False,Oriental,False,False,85.97081930415264,False,9.749539594843462,211.1657180156658,2026-01
SC-00007,2026-04-27 15:00:00,Safi Minerals,WH-Fes,Retail Pro,Produit E,279.0,267.0,186.15,51935.34,750.0,13.81,11.93,4150.0,596,96.06,6339.21,Partiel,False,Sud,True,False,95.6989247311828,False,8.45228,194.5143820224719,2026-04
SC-00008,2026-06-06 20:00:00,Marrakech Food,WH-Agadir,Export Client,Produit A,454.0,463.0,44.95,20406.43,670.6,9.86,5.57,456.0,267,91.29,8311.46,Livré,False,Centre,True,False,101.98237885462555,False,12.39406501640322,44.07436285097192,2026-06
SC-00009,2026-06-29 21:30:00,Rabat Pharma,WH-Casablanca,Retail Pro,Produit F,71.0,64.0,205.02,14556.22,216.6,8.85,6.45,1719.0,515,94.37,2677.53,Livré,False,Centre,True,False,90.14084507042254,False,12.361634349030473,227.4409375,2026-06
SC-00010,2026-01-29 12:45:00,Safi Minerals,WH-Casablanca,Grossiste Nord,Produit E,752.0,692.0,67.97,51111.97,365.9,5.47,0.0,390.0,282,97.9,3904.3,Livré,False,Sud,False,False,92.02127659574468,False,10.67040174911178,73.86122832369942,2026-01
SC-00011,2026-05-11 14:30:00,Tanger Components,WH-Casablanca,Pharmacie Centrale,Produit E,866.0,824.0,104.16,90203.02,30.1,4.54,0.0,3950.0,1542,98.71,381.23,Livré,False,Souss,False,False,95.1501154734411,False,12.665448504983388,109.46968446601942,2026-05
SC-00012,2026-01-28 17:45:00,Tanger Components,WH-Fes,Export Client,Produit C,355.0,308.0,215.07,76351.29,377.0,6.07,3.95,3822.0,628,85.26,2067.31,Livré,False,Oriental,True,False,86.76056338028168,False,5.483580901856763,247.8937987012987,2026-01
SC-00013,2026-01-08 22:00:00,Fes Textiles,WH-Marrakech,Marjane,Produit B,1051.0,1035.0,53.86,56606.1,476.8,3.8,1.15,4060.0,1471,85.86,3137.56,Livré,False,Oriental,False,False,98.47764034253092,False,6.580453020134228,54.691884057971016,2026-01
SC-00014,2026-04-07 16:00:00,Casa Packaging,WH-Tanger,Grossiste Sud,Produit D,819.0,828.0,100.06,81945.15,175.3,7.13,3.08,5301.0,988,93.58,1524.9,Livré,False,Nord,True,False,101.0989010989011,False,8.698802053622362,98.96757246376811,2026-04
SC-00015,2026-05-16 15:30:00,Marrakech Food,WH-Tanger,Pharmacie Centrale,Produit E,129.0,590.0,215.83,27842.53,80.9,2.71,0.0,5068.0,1771,85.56,783.43,Livré,False,Centre,False,False,457.36434108527135,False,9.683930778739184,47.19072881355932,2026-05
SC-00016,2026-04-22 20:15:00,Tanger Components,WH-Fes,Marjane,Produit B,700.0,651.0,101.53,71071.64,391.1,10.21,5.63,4436.0,964,87.51,2239.1,Annulé,False,Nord,True,False,93.0,False,5.725134236768089,109.17302611367127,2026-04
SC-00017,2026-05-29 15:00:00,Marrakech Food,WH-Fes,Pharmacie Centrale,Produit F,344.0,350.0,54.85,18867.7,161.9,5.15,0.0,5130.0,256,90.95,2061.97,En retard,False,Sud,False,False,101.74418604651163,False,12.736071649166151,53.907714285714285,2026-05
SC-00018,2026-06-11 17:30:00,Safi Minerals,WH-Agadir,Marjane,Produit B,1105.0,966.0,127.89,141318.11,40.2,2.44,0.0,5631.0,794,83.45,351.48,Livré,False,Nord,False,False,87.42081447963801,False,8.743283582089552,146.2920393374741,2026-06
SC-00019,2026-02-18 20:45:00,Safi Minerals,WH-Marrakech,Pharmacie Centrale,Produit D,596.0,544.0,83.78,49931.37,643.4,10.13,4.53,4246.0,534,86.06,4886.71,En retard,False,Oriental,True,False,91.2751677852349,False,7.5951352191482755,91.78560661764706,2026-02
SC-00020,2026-02-08 08:45:00,Marrakech Food,WH-Marrakech,Pharmacie Centrale,Produit C,20.0,18.0,92.31,1846.12,188.1,5.98,3.39,4281.0,1221,99.05,1181.82,Livré,False,Souss,True,False,90.0,False,6.282934609250399,102.56222222222222,2026-02
SC-00021,2026-01-26 21:00:00,Casa Packaging,WH-Agadir,Export Client,Produit D,1023.0,972.0,102.2,104548.57,215.9,3.41,0.0,2330.0,1097,88.12,1821.68,En retard,False,Souss,False,False,95.01466275659824,False,8.437610004631773,107.5602572016461,2026-01
SC-00022,2026-03-10 19:45:00,Marrakech Food,WH-Agadir,BIM,Produit F,357.0,330.0,93.44,33356.77,595.5,4.56,0.0,4825.0,1686,98.0,7127.87,Livré,False,Souss,False,False,92.43697478991596,False,11.969554995801847,101.0811212121212,2026-03
SC-00023,2026-04-23 18:30:00,Casa Packaging,WH-Marrakech,Grossiste Sud,Produit B,705.0,675.0,14.01,9874.54,411.0,4.38,0.0,354.0,1128,95.38,4383.87,Livré,True,Sud,False,True,95.74468085106383,True,10.666350364963503,14.62894814814815,2026-04
SC-00024,2026-03-02 19:45:00,Casa Packaging,WH-Casablanca,Pharmacie Centrale,Produit B,126.0,113.0,168.55,21237.88,262.0,3.18,0.31,5340.0,1561,92.36,2853.01,Livré,False,Sud,False,False,89.68253968253968,False,10.88935114503817,187.9458407079646,2026-03
SC-00025,2026-01-18 22:00:00,Agadir Plastics,WH-Agadir,Pharmacie Centrale,Produit A,809.0,800.0,156.26,126410.84,321.5,6.18,4.39,1281.0,59,96.45,3064.08,Livré,False,Sud,True,False,98.8875154511743,False,9.530575427682736,158.01355,2026-01
SC-00026,2026-04-27 13:15:00,Fes Textiles,WH-Tanger,Marjane,Produit C,117.0,105.0,133.93,15670.16,223.5,11.11,6.13,5345.0,1477,88.28,1868.95,Partiel,False,Sud,True,False,89.74358974358975,False,8.362192393736018,149.23961904761904,2026-04
SC-00027,2026-02-17 07:00:00,Agadir Plastics,WH-Casablanca,Carrefour,Produit F,315.0,299.0,52.9,16664.89,61.7,8.44,4.83,2987.0,846,87.03,786.94,Livré,False,Souss,True,False,94.92063492063491,False,12.754294975688817,55.735418060200665,2026-02
SC-00028,2026-06-07 19:45:00,Fes Textiles,WH-Fes,Carrefour,Produit F,166.0,165.0,233.26,38720.9,62.5,5.48,3.01,4633.0,1799,94.32,614.05,Livré,False,Souss,True,False,99.3975903614458,False,9.8248,234.67212121212123,2026-06
SC-00029,2026-05-29 10:45:00,Fes Textiles,WH-Marrakech,Export Client,Produit D,272.0,276.0,139.63,37979.53,294.2,2.79,0.0,4415.0,537,86.69,2219.61,Livré,False,Sud,False,False,101.47058823529412,False,7.544561522773624,137.6069927536232,2026-05
SC-00030,2026-04-16 13:00:00,Casa Packaging,WH-Agadir,Marjane,Produit B,228.0,225.0,24.36,5554.66,603.5,8.53,1.7,3278.0,441,88.06,4465.04,Livré,False,Souss,False,False,98.68421052631578,False,7.398574979287489,24.687377777777776,2026-04
SC-00031,2026-04-06 20:45:00,Agadir Plastics,WH-Casablanca,BIM,Produit C,194.0,182.0,15.93,3091.12,49.6,2.7,0.0,5030.0,1734,98.53,597.58,Livré,False,Nord,False,False,93.81443298969072,False,12.047983870967743,16.984175824175825,2026-04
SC-00032,2026-03-12 14:45:00,Rabat Pharma,WH-Tanger,Retail Pro,Produit C,734.0,740.0,212.24,155782.48,102.5,2.43,0.0,1221.0,536,97.06,871.77,Livré,False,Souss,False,False,100.8174386920981,False,8.505073170731707,210.51686486486489,2026-03
